state,d_2020_total,r_2020_total
AL,849624,1441170
AK,153778,189951
AZ,1672143,1661686
AR,423932,760647
CA,11110639,6006518
CO,1804352,1364607
CT,1080831,714717
DE,296268,200603
DC,317323,18586
FL,5297045,5668731
GA,2473633,2461854
HI,366130,196864
ID,287021,554119
IL,3471915,2446891
IN,1242498,1729857
IA,759061,897672
KS,570323,771406
KY,772474,1326646
LA,856034,1255776
ME,435072,360737
MD,1985023,976414
MA,2382202,1167202
MI,2804040,2649852
MN,1717077,1484065
MS,539398,756764
MO,1253014,1718736
MT,244786,343602
NE,374583,556846
NV,703486,669890
NH,424937,365660
NJ,2608400,1883313
NM,501614,401894
NY,5244886,3251997
NC,2684292,2758775
ND,115042,235751
OH,2679165,3154834
OK,503890,1020280
OR,1340383,958448
PA,3458229,3377674
RI,307486,199922
SC,1091541,1385103
SD,150471,261043
TN,1143711,1852475
TX,5259126,5890347
UT,560282,865140
VT,242820,112704
VA,2413568,1962430
WA,2369612,1584651
WV,235984,545382
WI,1630866,1610184
WY,73491,193559
